Filename,Peak_dB
A410_sar_p_3.mp4,-59.43405682689473
A221_tri_v_2.mp4,-46.82254512269262
A55_ins_v_3_ver1.mp4,-67.44120571880725
A227_hap_v_3.mp4,-41.6419008435816
A64_det_v_3.mp4,-66.30679580414566
A327_ang_p_2.mp4,-39.23094204772697
A337_ple_p_3.mp4,-36.56038732905549
A424_disg_v_3.mp4,-53.373130417481356
A407_sha_v_3.mp4,-69.62971558082559
A303_gui_p_3.mp4,-44.339056413646894
A220_dist_v_2.mp4,-48.19219928703021
A424_disg_v_2.mp4,-62.161068045553165
A227_hop_v_3.mp4,-46.935124543333544
A55_emb_p_3.mp4,-43.336735050109084
A91_sat_p_3.mp4,-47.403525439520905
A332_gui_p_2.mp4,-52.10544086582181
A405_env_p_2.mp4,-62.65920041160563
A207_hop_v_3.mp4,-72.34950140588154
A102_env_p_2.mp4,-59.157309522377595
A332_ang_p_2.mp4,-52.85126031176
A405_awe_v_3.mp4,-54.417060765485495
A207_det_p_2.mp4,-49.36002757817636
A424_neg_sur_v_2.mp4,-67.28386953241619
A221_gui_v_3.mp4,-79.45485149488223
A337_ele_v_2.mp4,-46.373870527805714
A435_ten_v_3.mp4,-74.25119025300874
A64_dist_v_3.mp4,-39.1121062120278
A437_mov_v_3.mp4,-71.99074724802784
A67_disg_v_3.mp4,-40.426410640755044
A407_hap_v_3.mp4,-50.74844252484268
A332_dist_p_3.mp4,-40.639135020714505
A405_neu_sit4_p.mp4,-69.18707348586251
A337_neg_sur_p_2.mp4,-42.2060556863312
A67_neg_sur_v_3.mp4,-44.243414084579754
A91_ele_p_3.mp4,-46.73573861867424
A221_anx_v_2.mp4,-83.27661477131718
A410_rej_v_3.mp4,-62.49854950559006
A72_mov_v_3.mp4,-51.21546069371273
A200_bor_p_2.mp4,-62.790485150268
A435_hop_v_2.mp4,-70.18212603756947
A332_adm_v_2.mp4,-56.51090252816417
A405_amu_v_3.mp4,-65.39354410327171
A227_neu_sit1_p.mp4,-57.83756046201907
A334_sar_p_2.mp4,-56.90832510554642
A438_cont_p_3.mp4,-54.348411035592775
A207_gui_v_3.mp4,-58.553575526531134
A426_gra_v_2.mp4,-65.59928859157012
A227_neg_sur_p_2.mp4,-43.20562715935856
A207_neu_sit1_v.mp4,-58.773221152992825
A337_sha_p_3.mp4,-44.846444482743365
A221_pri_p_3.mp4,-62.560170325655164
A435_conc_p_2.mp4,-68.74119726124881
A102_anx_v_2.mp4,-60.50182015708746
A438_conf_v_3.mp4,-67.18905398494151
A227_dist_v_3.mp4,-40.276022816336706
A205_scha_p_2.mp4,-64.4400718418537
A72_ten_v_3.mp4,-42.14281926277902
A205_emb_v_2.mp4,-67.28819880811379
A332_conf_v_3.mp4,-56.03974722456647
